,tvshow,year,rating,votes,description
0,Nine Perfect Strangers,2021,7.4,4097.0,Nine stressed city dwellers visit a boutique health-and-wellness resort that promises healing and transformation. The resort's director is a woman on a mission to reinvigorate their tired minds and bodies.
1,What If...?,2021,7.6,13914.0,"Exploring pivotal moments from the Marvel Cinematic Universe and turning them on their head, leading the audience into uncharted territory."
2,The Walking Dead,2010,8.2,893255.0,Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.
3,The White Lotus,2021,7.7,21104.0,"Set in a tropical resort, it follows the exploits of various guests and employees over the span of a week."
4,American Horror Story,2011,8.0,289403.0,"An anthology series centering on different characters and locations, including a house with a murderous past, an insane asylum, a witch coven, a freak show circus, a haunted hotel, a possessed farmhouse, a cult, the apocalypse, a slasher summer camp, and a bleak beach town and de... Read all"
5,Ted Lasso,2020,8.7,78341.0,Follows an American football coach Ted Lasso who heads to the U.K. to manage a struggling London football team in the top flight of English football.
6,The Chair,2021,7.3,5403.0,"At a major university, the first woman of color to become chair tries to meet the dizzying demands and high expectations of a failing English department."
7,Clickbait,2021,7.4,5117.0,"When family man Nick Brewer is abducted in a crime with a sinister online twist, those closest to him race to uncover who is behind it and why."
8,See,2019,7.6,50688.0,"Far in a dystopian future, the human race has lost the sense of sight, and society has had to find new ways to interact, build, hunt, and to survive. All of that is challenged when a set of twins is born with sight."
9,Titans,2018,7.6,77072.0,A team of young superheroes combat evil and other perils.
10,Game of Thrones,2011,9.2,1864880.0,"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia."
11,Outer Banks,2020,7.6,32896.0,A group of teenagers from the wrong side of the tracks stumble upon a treasure map that unearths a long buried secret.
12,Brooklyn Nine-Nine,2013,8.4,255075.0,"Comedy series following the exploits of Det. Jake Peralta and his diverse, lovable colleagues as they police the NYPD's 99th Precinct."
13,Chapelwaite,2021,7.5,876.0,"In the 1850s, Captain Charles Boone relocates his family to his ancestral home in the small, sleepy town of Preacher's Corners. Charles will soon have to confront the secrets of his family's history and fight to end the darkness."
14,Rick and Morty,2013,9.2,424783.0,An animated series that follows the exploits of a super scientist and his not-so-bright grandson.
15,Brand New Cherry Flavor,2021,7.3,5324.0,"Lisa Nova, an aspiring film director in the sun-drenched but seamy world of 1990 Los Angeles, embarks on a mind-altering journey of supernatural revenge that gets nightmarishly out of control."
16,American Horror Stories,2021,6.1,8655.0,"An anthology series of stand-alone episodes delving into horror myths, legends, and lore."
17,Downton Abbey,2010,8.7,174200.0,A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.
18,Manifest,2018,7.1,35658.0,"A commercial airliner suddenly reappears after being missing for five years. As those aboard reintegrate into society, they experience guiding voices and visions of events yet to occur, and soon a deeper mystery unfolds."
